Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
April-2001,180.00,192.95,169.00,192.95,211000,50,38171200.00,23.95,,,12.95,
April-2001,158.00,192.40,152.50,158.30,2812454,35684,486881956.00,39.90,,,0.30,@
May-2001,162.05,162.05,144.50,144.50,150001,2,21675162.00,17.55,,,-17.55,
May-2001,159.80,162.90,138.30,145.80,4886189,37701,721570534.00,24.60,,,-14.00,@
June-2001,142.40,145.00,142.40,145.00,868100,11,125697440.00,2.60,,,2.60,
June-2001,146.00,149.00,126.25,127.85,2987557,25020,420712833.00,22.75,,,-18.15,@
July-2001,127.00,140.00,104.85,125.50,1976859,18485,246144979.00,35.15,,,-1.50,
August-2001,128.95,129.00,104.10,106.10,1363151,11565,157820089.00,24.90,,,-22.85,
September-2001,106.75,109.90,66.50,71.45,1349891,14464,114849955.00,43.40,,,-35.30,
October-2001,72.00,113.00,69.95,101.60,2087673,17953,180764460.00,43.05,,,29.60,
November-2001,103.20,110.00,99.00,101.00,1703790,8863,176900319.00,11.00,,,-2.20,
December-2001,100.90,101.90,80.00,88.00,1149253,7424,107123326.00,21.90,,,-12.90,
January-2002,90.00,100.00,86.00,90.55,4086497,15910,378659860.00,14.00,,,0.55,
February-2002,91.50,143.70,89.05,125.55,10543935,66543,1326602659.00,54.65,828382,7.86,34.05,
March-2002,124.00,139.50,118.00,124.00,4372324,31165,569545285.00,21.50,3653730,83.56,0.00,
April-2002,125.50,131.40,111.05,112.55,1319327,10254,160921239.00,20.35,997586,75.61,-12.95,
May-2002,113.55,152.00,111.60,139.45,4302055,28799,584347006.00,40.40,3272213,76.06,25.90,
June-2002,141.90,164.50,133.50,137.40,4455797,30833,658463030.00,31.00,3345102,75.07,-4.50,
July-2002,139.00,157.25,135.10,140.75,4025396,34314,589542297.00,22.15,2853276,70.88,1.75,
